agency_cd	site_no	datetime	698_00060_00003	698_00060_00003_cd	699_80154_00003	699_80154_00003_cd	700_80155_00003	700_80155_00003_cd	701_00010_00001	701_00010_00001_cd	702_00010_00002	702_00010_00002_cd	703_00010_00003	703_00010_00003_cd
5s	15s	20d	14n	10s	14n	10s	14n	10s	14n	10s	14n	10s	14n	10s
USGS	15266300	2000-07-14	13900	A					13.0	A	11.5	A	12.0	A
USGS	15266300	2000-07-15	14200	A					12.5	A	10.0	A	11.0	A
USGS	15266300	2000-07-16	14700	A					12.0	A	10.0	A	11.0	A
USGS	15266300	2000-07-17	15400	A					10.5	A	9.0	A	10.0	A
USGS	15266300	2000-07-18	15400	A					9.5	A	8.0	A	9.0	A
USGS	15266300	2000-07-19	15400	A					11.5	A	9.0	A	10.0	A
USGS	15266300	2000-07-20	15300	A					10.5	A	9.0	A	10.0	A
USGS	15266300	2000-07-21	15300	A					11.0	A	10.0	A	10.5	A
USGS	15266300	2000-07-22	15500	A					11.5	A	10.0	A	10.5	A
USGS	15266300	2000-07-23	15300	A					12.0	A	10.5	A	11.0	A
USGS	15266300	2000-07-24	15200	A					11.5	A	10.5	A	11.0	A
USGS	15266300	2000-07-25	14900	A					12.0	A	10.0	A	11.0	A
USGS	15266300	2000-07-26	14700	A					12.5	A	10.0	A	11.5	A
USGS	15266300	2000-07-27	14400	A					12.5	A	10.5	A	11.5	A
USGS	15266300	2000-07-28	14000	A					12.5	A	10.0	A	11.5	A
USGS	15266300	2000-07-29	13400	A					12.5	A	12.0	A	12.5	A
USGS	15266300	2000-07-30	13200	A					12.5	A	11.0	A	11.5	A
USGS	15266300	2000-07-31	13000	A					12.0	A	11.0	A	11.5	A
USGS	15266300	2000-08-01	12900	A					12.0	A	10.5	A	11.0	A
USGS	15266300	2000-08-02	13300	A					11.5	A	10.0	A	10.5	A
USGS	15266300	2000-08-03	13600	A					11.5	A	10.0	A	10.5	A
USGS	15266300	2000-08-04	14100	A					11.5	A	10.0	A	10.5	A
USGS	15266300	2000-08-05	14600	A					11.0	A	9.5	A	10.5	A
USGS	15266300	2000-08-06	14700	A					12.0	A	10.0	A	11.0	A
USGS	15266300	2000-08-07	14700	A					12.0	A	11.0	A	11.5	A
USGS	15266300	2000-08-08	14700	A					12.5	A	9.5	A	11.0	A
USGS	15266300	2000-08-09	14500	A					13.0	A	11.0	A	12.0	A
USGS	15266300	2000-08-10	14100	A					12.5	A	10.0	A	11.5	A
USGS	15266300	2000-08-11	13700	A					12.5	A	10.0	A	11.5	A
USGS	15266300	2000-08-12	13300	A					13.0	A	10.5	A	12.0	A
USGS	15266300	2000-08-13	13000	A					14.0	A	12.0	A	13.0	A
USGS	15266300	2000-08-14	12700	A					15.0	A	11.0	A	13.0	A
USGS	15266300	2000-08-15	12600	A					14.0	A	10.5	A	12.0	A
USGS	15266300	2000-08-16	12100	A					11.0	A	9.5	A	10.5	A
USGS	15266300	2000-08-17	12000	A					11.5	A	9.0	A	10.5	A
USGS	15266300	2000-08-18	12000	A					12.5	A	10.5	A	11.5	A
USGS	15266300	2000-08-19	11700	A					13.5	A	11.5	A	12.5	A
USGS	15266300	2000-08-20	11400	A					13.0	A	11.0	A	12.0	A
USGS	15266300	2000-08-21	11000	A					13.0	A	11.0	A	12.0	A
USGS	15266300	2000-08-22	10700	A					12.5	A	11.0	A	11.5	A
USGS	15266300	2000-08-23	10200	A					12.5	A	10.5	A	11.5	A
USGS	15266300	2000-08-24	9920	A					12.5	A	11.0	A	12.0	A
